"FORMULARIO";"C_001_01";"C_001_02";"C_001_03";"C_001_04";"C_001_05";"C_001_06";"C_001_07";"C_001_08";"C_001_09";"C_001_10";"C_001_11";"C_001_12";"C_001_13";"C_001_77";"C_001_77_A";"C_001_77_B";"C_001_77_C";"C_001_PLACA";"C_001_88";"F_EXP"
"0192";;;;1;;;;;;;;;;;;;;1;0;234,71
"0193";;;;;;;;;;;;;;;;;;0;0;24,62
"0194";1;;;1;;;;;;;4;;;;;;;2;0;145,29
"0195";;;;;;;;;;;;;;;;;;0;0;45,82
"0196";;;;1;;;;;;;;;;;;;;1;0;200,27
"0198";1;;;;;;;;;;;;;;;;;1;0;760,00
"0199";;;;;;;;;;;;;;;;;;0;0;54,53
"0200";;;;;;;;;;;;;;;;;;0;0;59,08
"0201";;;;1;;;;;;;1;;;;;;;1;0;85,97
"0202";;;;;;;;;;2;;;;;;;;;0;95,44
"0204";;;;;;;;;;;;;;;;;;0;0;31,19
"0205";1;0;0;1;0;0;0;0;0;0;0;0;0;;;;;2;0;42,38
"0207";;;;;;;;;;;;;;;;;;0;0;42,38
"0210";1;;;;;;;;;;;;;;;;;1;0;39,84
"0211";;;;;;;;;;;;;;;;;;0;0;13,52
"0213";0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;1;0;17,18
"0214";;;;;;;;;;;;;;;;;;0;0;27,50
"0215";;;;1;;;;;;;;;;;;;;1;0;136,90
"0216";0;0;0;2;0;0;0;0;0;0;0;0;0;;;;;2;0;25,44
"0220";;;;;;;;;;;;;;;;;;0;0;55,21
"0222";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"00";0;0;11,10
"0223";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;37,55
"0224";2;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";2;0;25,30
"0226";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;81,93
"0228";1;0;0;0;0;0;0;0;0;0;0;1;0;;;;;1;0;43,74
"0229";2;0;0;2;0;0;0;0;0;0;0;0;0;0;"00";"0";"0";4;0;11,85
"0231";;;;1;;;;;;;;;;;;;;1;0;29,24
"0232";;;;1;;;;;;;;;;;;;;1;0;33,13
"0233";;;;;;;;;;;;;;;;;;0;0;49,88
"0234";1;0;0;1;0;0;0;0;0;0;2;0;0;0;"0";"0";"0";2;0;46,40
"0236";;;;1;;;;;;;;;;;;;;1;0;35,07
"0237";;1;;1;;;;;;;;;;;;;;2;0;122,62
"0238";1;;;2;;;;;;;1;2;;;;;;3;0;538,57
"0240";1;;;;;;;;;;;;;;;;;1;0;53,36
"0241";;;;;;;;;;;;;;;;;;0;0;50,66
"0243";;;;;;;;;;;;2;;;;;;0;0;74,37
"0244";;;;1;;;;;;;2;;;;;;;1;0;122,82
"0246";;;;;;;;;;;;;;;;;;0;0;69,29
"0247";;;;;;;;;;;;;;;;;;0;0;50,66
"0248";;;;1;;;;;;;1;1;;;;;;1;0;58,67
"0251";;;;1;;;;;;;;;;;;;;1;0;33,13
"0252";;;;;;;;;;;;;;;;;;0;0;26,38
"0253";;;;;;;;;;;;;;;;;;0;0;174,87
"0254";;;;;;;;;;;;;;;;;;0;0;38,95
"0255";;;;;;;;;;;;;;;;;;0;0;25,18
"0256";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;14,37
"0258";;;;;;;;;;;;;;;;;;0;0;77,56
"0259";;;;;;;;;;;;;;;;;;0;0;20,85
"0260";;;;;;;;;;;;;;;;;;0;0;46,27
"0261";1;;;;;;;;;;;;;;;;;1;0;105,51
"0262";1;;;;;;;;;;;;;;;;;1;0;96,40
"0263";;1;;;;;;;;;;1;;;;;;1;0;87,28
"0265";;;;;;;;;;;1;3;;;;;;0;0;23,60
"0267";;;;;;;;;;;;;;;;;;0;0;188,72
"0270";0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;1;0;20,03
"0271";;;;;;;;;;;;;;;;;;0;0;38,00
"0273";;;;;;;;;;;;;;;;;;0;0;38,00
"0274";1;;;;;;;;;;;;;;;;;1;0;60,98
"0275";1;;;;;;;;;;;;;;;;;1;0;21,23
"0276";;;;;;;;;;;;;;;;;;0;0;12,29
"0277";;;;1;;;;;;;;1;;;;;;1;0;46,63
"0278";0;0;0;1;0;0;0;0;0;0;0;3;0;;;;;1;0;58,02
"0280";;;;;;;;;;;;;;;;;;0;0;25,99
"0281";;;;2;;;;;;;;;;;;;;2;0;24,06
"0282";1;;;;;;;;;;;;;;;;;1;0;37,97
"0283";;;;2;;;;;;;1;;;;;;;2;0;13,26
"0284";;;;;;;;;;;;;;;;;;0;0;13,12
"0285";;;;1;;;;;;;;;;;;;;1;0;89,28
"0286";;;;;;;;;;;;;;;;;;0;0;89,28
"0288";;;;;;;;;;;;;;;;;;0;0;12,79
"0289";;;;;;;;;;;;;;;;;;0;0;12,25
"0290";;;;;;;;;;;;;;;;;;0;0;18,14
"0291";;;;1;;;;;;;;;;;;;;1;0;83,05
"0292";0;0;0;1;0;0;0;0;0;0;2;0;0;;;;;1;0;93,02
"0293";;;;;;;;;;;;;;;;;;0;0;16,37
"0294";1;;;1;;;;;;;1;;;;;;;2;0;52,68
"0295";;;;;;;;;;;;;;;;;;0;0;92,26
"0299";;;;1;;;;;;;;1;;;;;;1;0;104,95
"0300";1;;;;;;;;;;;1;;;;;;1;0;31,39
"0304";;;;;;;;;;;;;;;;;;0;0;81,45
"0305";0;0;0;1;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;34,47
"0306";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;34,47
"0307";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;76,09
"0308";0;0;0;1;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;24,96
"0310";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;86,54
"0311";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;64,47
"0313";0;0;0;1;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;170,15
"0314";0;0;0;0;0;0;0;0;0;0;0;1;0;0;"0";"0";"0";0;0;142,68
"0315";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;107,44
"0319";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;81,29
"0321";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;34,61
"0325";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;67,61
"0326";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;70,69
"0327";0;0;0;1;0;0;0;0;0;0;0;1;0;0;"0";"0";"0";1;0;17,75
"0328";0;0;0;1;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;17,37
"0331";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"00";"0";0;0;259,90
"0332";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;77,56
"0333";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;56,40
"0334";0;0;0;0;0;0;0;0;0;0;0;1;0;0;"0";"0";"0";0;0;22,20
"0337";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;22,20
"0339";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;60,73
"0340";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;16,97
"0343";1;0;0;0;0;0;0;0;0;0;2;0;0;0;"0";"0";"0";1;0;28,97
"0344";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;44,70
"0345";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;23,22
"0346";0;0;0;0;0;0;0;0;0;0;2;0;0;0;"0";"0";;0;0;28,05
"0348";1;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;23,36
"0349";0;2;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";2;0;19,11
"0350";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;50,87
"0351";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;57,11
"0352";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;37,59
"0354";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;113,95
"0355";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;58,65
"0358";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;82,11
"0362";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;13,76
"0365";1;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;13,41
"0366";1;0;0;0;0;0;0;0;0;0;2;2;0;0;"0";"0";"0";1;0;230,11
"0367";1;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;7,90
"0369";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;7,90
