FORMULARIO;ID_000;ID_003;ID_004;ID_005;ID_006;ID_008_HH;ID_008_MM;ID_008_A;A_003;A_004;A_005;A_006;A_007;A_008;Municipio;Comuna;Estrato;F_EXP
3426;6674;643;4;02-25-0627;23/8/2017 0:00:00;12;57;p. m.;1;3;3;1;1;1;Dosquebradas;Dosquebradas 2;3;56,69
3427;NA;643;4;02-25-0627;23/8/2017 0:00:00;1;24;p. m.;1;1;3;1;2;2;Dosquebradas;Dosquebradas 2;3;10,46
3428;6744;637;2;02-25-0863;24/8/2017 0:00:00;12;3;p. m.;1;3;2;1;1;1;Dosquebradas;Dosquebradas 2;2;123,95
3429;6744;643;5;02-25-0773;23/8/2017 0:00:00;2;15;p. m.;1;1;3;1;2;2;Dosquebradas;Dosquebradas 2;3;304,38
3430;NA;637;1;02-25-0552;24/8/2017 0:00:00;10;23;a. m.;1;3;2;1;2;2;Dosquebradas;Dosquebradas 2;2;225,84
3431;2443;150;3;01-17-1066;23/8/2017 0:00:00;2;32;p. m.;2;3;2;1;2;2;Pereira;El Poblado;2;49,52
3432;2443;150;3;01-17-1066;23/8/2017 0:00:00;3;50;p. m.;2;3;2;1;3;2;Pereira;El Poblado;2;40,91
3433;2443;153;5;01-17-1337;23/8/2017 0:00:00;5;40;p. m.;1;3;1;1;4;4;Pereira;El Poblado;1;22,37
3434;6744;150;1;01-17-1413;23/8/2017 0:00:00;2;31;p. m.;1;1;2;1;2;1;Pereira;El Poblado;2;56,52
3435;2443;153;5;01-17-1337;24/8/2017 0:00:00;4;20;p. m.;1;2;1;1;2;2;Pereira;El Poblado;1;21,47
3436;2443;150;4;01-17-1323;23/8/2017 0:00:00;3;30;p. m.;1;2;2;1;7;5;Pereira;El Poblado;2;45,13
3438;6744;150;2;01-17-1416;23/8/2017 0:00:00;2;50;p. m.;1;1;2;1;3;3;Pereira;El Poblado;2;31,22
3439;6744;150;5;01-17-1106;23/8/2017 0:00:00;3;41;p. m.;1;3;2;1;3;3;Pereira;El Poblado;2;270,67
3440;2443;150;1;01-17-1413;23/8/2017 0:00:00;2;35;p. m.;2;3;2;1;2;2;Pereira;El Poblado;2;56,52
3441;6744;150;4;01-17-1323;23/8/2017 0:00:00;3;20;p. m.;1;1;2;1;4;4;Pereira;El Poblado;2;45,13
3442;6744;153;4;01-17-1355;23/8/2017 0:00:00;5;30;p. m.;1;1;1;2;2;2;Pereira;El Poblado;1;19,21
3443;6744;150;3;01-17-1066;23/8/2017 0:00:00;2;45;p. m.;1;1;2;1;1;1;Pereira;El Poblado;2;58,12
3444;2443;150;3;01-17-1066;23/8/2017 0:00:00;3;10;p. m.;1;1;2;1;3;3;Pereira;El Poblado;2;40,91
3445;6744;149;1;01-17-1417;23/8/2017 0:00:00;3;0;p. m.;1;1;2;1;3;3;Pereira;El Poblado;2;76,13
3446;6744;149;2;01-17-1070;23/8/2017 0:00:00;3;35;p. m.;1;3;2;1;2;2;Pereira;El Poblado;2;49,52
3447;2443;149;2;01-17-1070;23/8/2017 0:00:00;4;50;p. m.;1;3;2;1;1;1;Pereira;El Poblado;2;58,12
3448;NA;149;5;01-17-1109;23/8/2017 0:00:00;4;35;p. m.;1;3;2;1;1;1;Pereira;El Poblado;2;67,41
3449;2443;149;5;01-17-1109;23/8/2017 0:00:00;5;10;p. m.;1;3;2;1;4;4;Pereira;El Poblado;2;34,73
3450;2443;610;2;03-23-0129;25/8/2017 0:00:00;11;5;a. m.;1;1;3;1;1;1;La Virginia;La Virginia;3;40,03
3451;6744;149;1;01-17-1417;23/8/2017 0:00:00;2;58;p. m.;1;3;2;1;5;3;Pereira;El Poblado;2;43,76
3452;6744;149;2;01-17-1070;23/8/2017 0:00:00;3;37;p. m.;1;3;2;1;3;3;Pereira;El Poblado;2;40,91
3453;2443;149;2;01-17-1070;23/8/2017 0:00:00;4;9;p. m.;1;1;2;1;6;6;Pereira;El Poblado;2;21,88
3454;6744;149;5;01-17-1109;23/8/2017 0:00:00;4;51;p. m.;1;3;2;1;4;4;Pereira;El Poblado;2;34,73
3455;6744;149;5;01-17-1109;23/8/2017 0:00:00;5;35;p. m.;1;3;2;1;4;4;Pereira;El Poblado;2;34,73
3456;6744;151;5;01-17-1340;24/8/2017 0:00:00;4;53;p. m.;1;3;2;1;2;2;Pereira;El Poblado;2;44,95
3457;9147;141;5;01-17-0872;23/8/2017 0:00:00;4;50;p. m.;1;1;3;1;3;2;Pereira;El Poblado;3;38,72
3458;6744;141;3;01-17-0952;23/8/2017 0:00:00;5;30;p. m.;1;2;3;1;4;2;Pereira;El Poblado;3;30,31
3459;9147;151;2;01-17-1338;24/8/2017 0:00:00;2;30;p. m.;1;5;2;1;4;4;Pereira;El Poblado;2;32,31
3460;6744;153;3;01-17-1386;23/8/2017 0:00:00;5;15;p. m.;1;3;1;1;1;1;Pereira;El Poblado;1;24,93
3461;6744;678;5;02-27-1657;31/8/2017 0:00:00;11;50;a. m.;1;2;3;1;6;5;Dosquebradas;Dosquebradas 4;3;98,82
3462;6744;153;4;01-17-1355;23/8/2017 0:00:00;5;3;p. m.;1;3;1;1;4;4;Pereira;El Poblado;1;19,90
