"FORMULARIO";"C_002";"C_003";"C_004";"C_005";"C_006";"C_007";"C_008";"C_009";"F_EXP"
"0567";4;5;4;"66001";2011;1;3;80000,00;137,86
"0568";1;4;1;"66001";9999;1;3;30000,00;7,24
"0570";1;4;1;"66001";2014;2;2;0,00;137,86
"0570";2;4;1;"66001";2015;1;2;25000,00;137,86
"0572";1;4;1;"66001";2010;1;1;0,00;5,52
"0572";2;4;1;"66001";2000;1;1;0,00;5,52
"0573";1;4;1;"66001";2007;1;1;0,00;5,52
"0575";1;4;1;"66001";2014;1;1;0,00;7,24
"0575";2;4;1;"66001";2007;1;1;0,00;7,24
"0581";1;1;1;"66001";2012;1;1;0,00;47,32
"0582";1;4;1;"66170";2017;1;2;0,00;10,06
"0583";1;4;1;"66001";9999;1;1;0,00;9,92
"0586";1;1;1;"66001";9999;1;1;0,00;27,12
"0592";1;1;1;"66001";9999;1;4;0,00;28,65
"0593";1;1;1;"66001";2017;1;1;0,00;54,91
"0597";1;1;1;"76001";9999;1;1;0,00;28,98
"0598";1;2;1;"66001";9999;1;4;0,00;29,32
"0598";2;2;1;"66001";9999;1;4;0,00;29,32
"0605";1;1;1;"76834";2015;1;4;0,00;9,21
"0605";2;1;1;"66001";2015;1;4;0,00;9,21
"0605";3;2;2;"05631";2014;1;4;0,00;9,21
"0605";4;2;2;"66001";2016;1;1;0,00;9,21
"0605";5;2;1;"66001";2014;1;1;0,00;9,21
"0606";1;1;1;"66001";2009;1;2;0,00;16,42
"0607";1;1;1;"66001";2012;1;1;0,00;16,42
"0608";1;2;1;"66001";2014;1;1;0,00;17,31
"0608";2;2;1;"66001";2016;1;4;0,00;17,31
"0609";1;1;1;"66001";2015;1;1;0,00;7,02
"0609";2;1;1;"11001";2014;1;1;0,00;7,02
"0610";1;1;1;"66001";2015;1;1;0,00;7,15
"0617";1;1;1;"66001";2005;1;1;0,00;41,18
"0618";1;1;1;"11001";2006;1;1;50000,00;27,06
"0618";2;4;1;"66001";2015;1;1;30000,00;27,06
"0620";1;1;1;"11001";2010;1;1;0,00;41,18
"0620";2;4;1;"66001";2017;1;1;0,00;41,18
"0631";1;1;1;"11001";2013;1;1;0,00;10,83
"0632";1;1;1;"66001";9999;1;1;0,00;65,91
"0633";1;1;1;"66001";1996;1;1;0,00;65,91
"0634";1;1;1;"66001";2012;1;1;0,00;65,91
"0636";1;1;1;"17001";1954;1;1;0,00;29,84
"0636";2;1;1;"17001";2017;1;2;0,00;29,84
"0637";1;2;2;"66001";2013;1;1;0,00;51,95
"0637";2;4;1;"66170";2015;1;1;0,00;51,95
"0638";1;1;1;"66001";2015;1;1;0,00;65,91
"0639";1;1;1;"66001";2010;1;2;0,00;12,12
"0640";1;1;1;"66001";2012;1;2;0,00;27,74
"0640";2;2;1;"11001";2010;1;2;0,00;27,74
"0645";1;1;1;"66001";1995;1;2;90000,00;69,08
"0656";1;1;1;"66001";2015;1;4;0,00;45,49
"0658";1;1;1;"66001";1994;1;1;0,00;66,46
"0659";1;1;1;"66001";2010;1;1;0,00;240,55
"0659";2;4;1;"66001";2006;1;1;0,00;240,55
"0665";1;4;1;"66001";2010;1;1;0,00;92,82
"0667";1;4;1;"66001";2012;1;3;30000,00;8,27
"0671";1;4;1;"66001";2011;1;2;20000,00;49,60
"0676";1;1;1;"17001";1981;1;1;0,00;72,20
"0677";1;4;1;"66001";2016;1;1;0,00;59,27
"0677";2;4;1;"66001";2015;1;1;0,00;59,27
"0683";1;1;1;"66001";2011;1;1;0,00;44,38
"0683";2;2;1;"66001";2013;1;1;0,00;44,38
"0685";1;1;1;"05088";9999;1;1;0,00;33,76
"0688";1;2;1;"63001";2000;1;1;0,00;29,34
"0689";1;1;1;"76001";2007;1;1;0,00;35,46
"0689";2;4;1;"41206";2012;1;1;0,00;35,46
"0691";1;2;1;"66001";9999;1;1;0,00;25,60
"0692";1;1;1;"66001";2018;1;1;0,00;29,34
"0694";1;1;1;"66001";9999;1;1;0,00;28,71
"0694";2;2;1;"66001";2013;1;1;0,00;28,71
"0695";1;1;1;"66001";2014;1;2;0,00;47,96
"0699";1;2;2;"66001";2012;1;1;0,00;35,46
"0700";1;4;1;"66001";2017;1;1;0,00;25,47
"0700";2;4;1;"66001";2017;1;1;0,00;25,47
"0701";1;1;1;"66001";2010;1;2;0,00;29,84
"0702";1;1;1;"66001";2000;1;1;0,00;20,45
"0704";1;1;1;"05001";2013;1;4;0,00;12,29
"0707";1;2;1;"66001";2011;1;1;0,00;64,03
"0707";2;4;1;"66001";2016;1;1;0,00;64,03
"0714";1;1;1;"66001";2017;1;2;0,00;8,21
"0716";1;1;1;"17001";1998;1;2;25000,00;11,30
"0718";1;1;1;"11001";9999;1;1;0,00;9,38
"0718";2;4;1;"66001";9999;1;1;0,00;9,38
"0720";1;1;1;"66001";2013;1;1;0,00;8,29
"0723";1;1;1;"66001";1999;1;1;0,00;8,29
"0723";2;1;1;"66001";2013;1;1;0,00;8,29
"0724";1;1;1;"66001";2014;1;2;60000,00;8,46
"0725";1;1;1;"66001";1961;1;1;0,00;8,13
"0726";1;1;1;"66001";9999;1;1;0,00;17,24
"0727";1;4;1;"66001";2004;1;1;0,00;94,44
"0727";2;4;1;"66001";2016;1;1;0,00;94,44
"0727";3;4;1;"66001";1998;1;1;0,00;94,44
"0729";1;1;1;"11001";2018;1;3;50000,00;42,88
"0729";2;4;1;"66001";2014;1;3;20000,00;42,88
"0730";1;4;1;"66001";1997;1;1;0,00;55,12
"0731";1;9;1;"66001";1989;1;1;0,00;24,75
"0732";1;1;1;"66001";2012;1;3;50000,00;83,33
"0735";1;1;6;"05615";9999;1;2;0,00;28,37
"0746";1;4;1;"66001";2016;1;2;0,00;40,85
"0747";1;1;1;"76001";2000;1;4;0,00;40,62
"0747";2;4;1;"05615";2013;1;1;0,00;40,62
"0750";1;1;1;"66001";2005;1;1;0,00;28,60
"0752";1;1;1;"66001";2005;1;1;0,00;45,72
"0754";1;1;1;"66001";2017;1;1;0,00;39,67
"0757";1;1;1;"66001";2016;1;1;0,00;34,76
"0758";1;2;1;"66001";2012;1;2;0,00;29,74
"0761";1;1;1;"76001";2011;1;1;0,00;23,50
"0762";1;1;1;"66001";2005;1;1;0,00;26,75
"0767";1;4;1;"66001";2004;1;1;0,00;13,00
"0769";1;4;1;"66001";2008;1;1;0,00;30,94
"0774";1;1;1;"66001";2016;1;2;0,00;140,01
"0774";2;4;1;"66001";2013;1;2;0,00;140,01
"0778";1;1;1;"66001";2013;1;1;0,00;100,28
"0778";2;1;1;"66001";2017;1;1;0,00;100,28
"0779";1;4;1;"66001";2016;1;1;0,00;119,52
"0780";1;1;1;"66170";2009;1;1;0,00;99,39
"0782";1;1;1;"66001";2016;1;1;0,00;60,89
"0783";1;1;1;"11001";2012;1;1;0,00;88,38
"0788";1;1;1;"17001";1996;1;1;0,00;30,56
"0788";2;4;1;"05001";2009;1;1;0,00;30,56
"0789";1;4;1;"66001";2007;1;1;0,00;5,40
"0790";1;1;1;"17001";2004;1;1;0,00;18,82
"0792";1;4;1;"66001";1994;1;1;0,00;5,40
"0794";1;4;1;"66001";2015;1;1;0,00;30,94
"0803";1;1;1;"66001";2010;1;1;0,00;23,02
"0806";1;1;1;"17001";2009;1;2;0,00;21,61
"0808";1;1;1;"66001";2006;1;1;0,00;27,45
"0809";1;4;1;"66001";2016;1;1;0,00;21,31
"0810";1;1;1;"05266";2014;1;1;0,00;21,31
"0813";1;1;1;"66001";2017;1;1;0,00;27,87
"0814";1;1;2;"66001";2008;1;2;0,00;16,07
"0815";1;1;1;"66001";2016;1;2;40000,00;15,75
"0816";1;1;1;"66001";2007;1;1;0,00;26,79
"0816";2;4;1;"76147";2016;1;1;0,00;26,79
"0820";1;2;1;"66001";2018;1;2;0,00;15,81
"0822";1;1;1;"66001";2010;1;2;110000,00;15,49
"0823";1;2;1;"73001";2003;1;2;20000,00;43,14
"0827";1;4;1;"66001";2016;1;1;0,00;5,35
"0830";1;1;1;"66001";2013;1;1;0,00;9,01
"0830";2;4;1;"66001";2008;1;1;0,00;9,01
"0831";1;4;1;"66001";2017;1;1;0,00;5,35
"0833";1;1;1;"66001";2000;1;1;0,00;34,48
"0834";1;1;1;"11001";2009;1;1;0,00;8,82
"0836";1;1;1;"66001";2009;1;2;0,00;9,01
"0836";2;2;1;"66001";2013;1;2;0,00;9,01
"0837";1;1;1;"76111";2015;1;1;0,00;9,01
