"FORMULARIO";"INGRESOS";"F_EXP"
"0748";3;37,37
"0749";10;46,57
"0750";10;28,60
"0751";10;41,27
"0752";10;45,72
"0753";1;5,34
"0754";10;39,67
"0757";10;34,76
"0760";6;23,02
"0762";10;26,75
"0764";1;6,21
"0766";2;59,40
"0767";1;13,00
"0769";2;30,94
"0773";2;31,21
"0774";3;140,01
"0776";3;65,23
"0778";10;100,28
"0779";3;119,52
"0780";5;99,39
"0782";9;60,89
"0783";10;88,38
"0786";1;51,23
"0787";1;29,00
"0788";2;30,56
"0789";2;5,40
"0790";5;18,82
"0792";2;5,40
"0793";1;24,46
"0794";2;30,94
"0796";1;28,18
"0798";2;36,29
"0800";2;5,52
"0803";3;23,02
"0806";10;21,61
"0807";2;27,92
"0808";10;27,45
"0809";10;21,31
"0810";2;21,31
"0811";3;38,68
"0813";3;27,87
"0814";3;16,07
"0815";5;15,75
"0816";4;26,79
"0819";10;26,79
"0820";10;15,81
"0821";10;44,18
"0822";10;15,49
"0823";10;43,14
"0824";1;9,98
"0826";10;5,42
"0827";2;5,35
"0828";6;8,82
"0829";10;371,48
"0830";6;9,01
"0831";2;5,35
"0833";4;34,48
"0834";6;8,82
"0836";10;9,01
"0837";10;9,01
"0839";1;30,63
"0840";1;20,27
"0841";2;33,08
"0843";2;61,38
"0844";3;250,41
"0847";3;147,51
"0848";4;61,38
"0849";7;23,48
"0850";3;11,30
"0852";10;10,24
"0853";2;7,80
"0854";2;24,10
"0857";10;38,36
"0858";6;100,75
"0859";10;33,33
"0860";6;30,33
"0861";10;18,46
"0862";1;26,35
"0864";10;25,39
"0869";3;19,47
"0870";10;46,28
"0872";10;19,92
"0874";2;19,47
"0875";1;7,05
"0876";3;37,77
"0877";10;19,92
"0878";5;9,28
"0880";2;6,18
"0881";6;29,80
"0882";5;29,65
"0885";2;7,36
"0887";2;14,06
"0888";2;10,83
"0889";2;6,40
"0890";3;10,83
"0891";3;24,41
"0892";3;24,48
"0893";1;14,06
"0894";2;29,57
"0895";3;13,78
"0897";3;24,94
"0898";10;27,15
"0901";10;19,11
"0903";10;146,25
"0905";10;31,33
"0907";10;59,88
"0908";2;35,75
"0909";3;26,02
"0910";6;29,89
"0912";4;28,98
"0913";5;53,86
"0914";1;46,42
"0916";10;60,41
"0917";10;27,65
"0918";10;323,66
"0920";4;14,84
"0923";2;8,01
"0926";3;10,71
"0927";2;10,50
"0928";5;12,59
"0929";10;5,34
"0930";2;159,84
"0931";7;25,30
"0933";10;26,64
"0935";10;18,21
"0936";10;70,63
"0937";10;28,70
"0938";7;24,11
"0939";2;8,04
"0940";1;14,62
"0943";3;13,11
"0944";2;4,61
"0947";1;14,44
"0948";3;29,77
"0949";2;10,50
"0950";2;5,02
"0951";2;108,30
"0958";10;38,68
"0960";6;28,05
"0961";2;35,47
"0962";10;8,83
"0964";4;8,84
"0966";2;8,85
"0967";2;47,91
"0969";10;29,74
"0970";5;26,69
"0971";3;22,23
"0973";3;29,90
"0975";10;11,30
"0976";10;11,99
"0979";10;19,28
"0981";1;14,73
"0983";7;147,32
"0984";3;14,96
"0985";1;14,12
"0986";10;16,47
"0987";10;17,52
"0989";3;17,52
"0990";2;18,60
"0991";1;17,52
"0992";10;19,40
"0993";10;18,06
"0994";10;18,60
"0995";4;26,44
"0997";2;25,30
"1001";5;10,37
"1002";10;10,37
"1003";10;67,11
"1004";2;85,08
"1006";2;65,33
"1007";5;67,11
"1009";1;170,13
"1011";2;67,11
"1012";10;13,02
"1013";4;13,02
"1016";2;218,68
"1017";1;81,09
"1018";2;137,34
"1019";10;24,94
"1020";1;24,94
"1021";5;29,11
"1023";2;23,63
"1024";3;24,94
"1026";9;212,85
"1028";6;7,15
"1029";8;137,12
"1030";4;18,79
"1031";10;23,63
"1032";4;17,74
"1033";1;23,63
"1035";10;19,66
"1036";2;31,84
"1037";4;20,30
"1038";2;16,70
"1039";10;31,84
"1040";2;27,40
"1042";3;67,72
"1052";10;12,73
"1055";2;164,57
"1078";1;28,61
"1079";2;24,52
"1111";5;42,34
"1114";10;35,11
"1116";7;43,08
"1119";2;78,23
"1120";1;81,37
"1121";10;124,87
"1124";2;20,21
"1125";10;21,30
"1126";3;29,74
"1127";2;12,04
"1128";1;24,73
"1129";1;26,62
"1130";1;22,41
"1131";2;26,62
"1132";1;26,62
"1134";1;16,21
"1135";3;398,18
"1136";3;27,27
"1137";2;17,34
"1138";1;57,34
"1139";2;49,54
"1141";1;292,19
"1142";1;124,77
"1144";1;36,28
"1146";1;25,56
"1148";9;116,95
"1149";10;97,94
"1150";1;5,79
"1151";4;5,24
"1152";5;189,29
"1153";2;159,84
"1154";2;17,53
"1155";1;17,53
"1156";10;8,27
"1157";1;6,82
"1158";1;10,06
"1161";3;22,53
"1163";1;39,67
"1164";10;39,67
"1166";2;36,98
"1167";10;48,35
"1174";3;67,11
"1175";1;37,87
"1176";1;86,26
"1177";1;22,67
"1178";1;58,48
"1179";2;221,30
"1180";2;27,35
