"FORMULARIO";"INGRESOS";"F_EXP"
"3568";1;38,57
"3569";2;55,00
"3570";2;85,00
"3571";10;74,65
"3572";10;74,65
"3573";1;74,65
"3574";1;66,40
"3575";10;46,67
"3576";2;47,69
"3577";10;61,04
"3579";10;163,42
"3581";2;59,00
"3582";10;46,67
"3583";10;64,04
"3584";10;42,94
"3585";1;42,94
"3586";10;265,10
"3587";1;731,85
"3588";1;29,29
"3589";10;58,69
"3590";10;43,83
"3591";1;29,11
"3592";1;57,84
"3593";2;56,14
"3594";2;66,94
"3595";1;66,94
"3596";1;66,94
"3597";3;87,82
"3598";1;44,28
"3599";2;44,28
"3600";1;43,01
"3601";1;50,81
"3602";2;49,74
"3603";2;49,74
"3604";1;50,35
"3605";10;61,98
"3606";1;66,55
"3607";4;168,61
"3608";2;211,17
"3609";2;61,98
"3610";1;65,20
"3611";2;69,21
"3613";2;23,70
"3614";2;63,59
"3615";1;154,69
"3616";1;32,31
"3617";1;58,12
"3618";1;40,87
"3619";1;23,70
"3620";1;23,70
"3621";1;19,55
"3622";10;22,37
"3624";2;52,53
"3625";1;25,63
"3626";3;36,94
"3627";2;21,92
"3628";2;52,53
"3629";2;30,49
"3630";10;18,08
"3631";1;172,48
"3632";1;169,29
"3633";2;30,49
"3634";2;18,08
"3635";1;18,08
"3636";10;307,88
"3637";10;67,44
"3638";1;37,84
"3639";1;155,53
"3640";2;269,13
"3641";2;33,87
"3642";1;28,69
"3643";1;44,33
"3644";1;37,20
"3645";2;37,84
"3646";2;28,51
"3647";2;37,20
"3648";5;137,96
"3649";2;188,72
"3650";10;183,11
"3651";2;24,19
"3652";1;92,27
"3653";2;38,46
"3654";1;94,63
"3655";2;85,60
"3656";1;58,51
"3657";1;76,57
"3658";1;67,54
"3663";10;22,99
"3664";10;85,60
"3665";1;44,78
"3666";1;44,78
"3667";1;85,60
"3668";10;76,57
"3669";3;76,57
"3670";10;94,63
"3671";2;85,60
"3673";10;363,16
"3674";1;90,12
"3675";1;30,90
"3676";1;33,61
"3677";1;67,54
"3678";1;30,90
"3679";10;58,51
"3681";3;270,52
"3683";2;31,32
"3684";2;37,52
"3685";2;36,59
"3686";1;37,21
"3687";6;67,54
"3688";1;85,60
"3689";8;85,60
"3690";10;103,66
"3691";10;85,60
"3692";1;33,87
"3693";2;67,54
"3694";1;45,72
"3695";1;62,74
"3696";1;188,33
"3697";1;130,15
"3698";1;245,96
"3699";1;104,86
"3700";1;21,28
"3706";1;141,81
"3707";1;64,37
"3710";7;21,28
"3714";10;413,30
"3716";1;49,00
"3717";10;258,47
"3718";1;115,62
"3719";10;161,33
"3720";2;84,64
"3721";1;115,62
"3722";2;1141,15
"3724";2;188,33
"3726";10;25,88
"3729";1;150,57
"3730";2;234,54
"3731";1;62,74
"3732";2;493,68
"3733";3;123,46
"3734";1;517,64
"3735";2;166,87
"3736";3;198,44
"3737";2;169,13
"3738";1;361,21
"3739";1;407,92
"3740";1;198,44
"3746";3;123,46
"3747";2;302,64
"3748";3;198,44
"3749";2;130,15
"3750";3;105,15
"3751";3;175,35
"3752";2;214,14
"3754";1;25,88
"3755";1;39,71
"3756";1;25,88
"3757";1;25,88
"3758";1;25,88
"3759";5;334,13
"3760";3;334,13
"3761";5;198,44
"3762";10;173,90
"3763";2;82,58
"3765";10;93,45
"3766";10;93,45
"3767";1;85,60
"3768";10;44,62
"3769";1;103,66
"3770";10;94,63
"3771";1;85,60
"3772";1;76,57
"3773";7;44,62
"3774";3;76,57
"3775";3;76,57
"3776";2;30,49
"3777";10;94,63
"3778";1;55,00
"3779";10;55,00
"3780";10;38,57
"3782";2;44,62
"3783";10;76,57
"3784";10;76,57
"3785";1;85,60
"3786";1;103,66
"3787";1;35,10
"3788";10;35,22
"3790";1;44,73
"3791";2;44,62
"3792";1;44,73
"3793";2;41,43
"3794";3;249,76
"3795";2;25,88
"3796";2;25,88
"3797";10;30,49
"3798";10;16,67
"3799";10;109,37
"3800";5;161,49
"3801";1;21,28
"3802";1;30,49
"3803";10;39,71
"3804";10;16,67
"3806";4;45,30
"3807";6;45,30
"3808";1;39,71
"3809";2;35,10
"3810";10;25,88
"3811";10;30,49
"3812";10;30,49
"3813";1;66,80
"3814";1;127,83
"3815";10;144,36
"3816";10;195,74
"3817";2;30,49
"3818";10;39,71
"3819";10;25,88
"3820";10;30,49
"3821";10;25,88
"3825";1;30,49
"3826";10;21,28
"3827";10;25,36
"3828";10;48,62
"3829";10;76,40
"3830";10;71,64
"3831";2;493,89
"3833";2;118,57
"3834";1;46,82
"3835";1;71,64
"3836";1;76,37
"3838";1;84,41
"3839";1;56,25
"3840";3;58,94
"3841";1;72,37
"3842";1;75,47
"3843";2;44,99
"3845";2;85,60
"3846";2;29,77
"3847";2;150,84
"3848";2;119,44
"3849";10;73,93
"3850";2;73,93
"3851";2;26,05
"3852";2;25,36
"3853";4;75,93
"3854";10;36,93
"3855";10;58,94
"3856";1;48,50
"3857";2;47,89
"3858";1;196,19
"3859";1;62,90
"3860";3;78,70
"3861";1;162,06
"3862";1;86,31
"3863";2;253,96
"3865";1;171,08
"3866";1;35,10
"3867";1;106,31
"3868";3;43,74
"3869";2;204,75
"3871";1;366,90
"3872";1;293,03
"3873";1;87,27
"3874";1;91,26
"3875";1;79,88
"3877";1;77,47
"3878";2;60,59
"3879";1;57,87
"3880";1;57,87
"3881";10;57,87
"3882";10;57,87
"3883";10;96,41
"3884";10;172,29
"3885";10;57,87
"3886";1;49,65
"3887";10;75,84
"3888";2;101,73
"3889";10;101,34
"3890";2;58,55
"3892";1;139,78
"3895";1;54,67
"3896";10;110,64
"3897";10;166,21
"3898";10;30,49
"3899";1;170,30
"3900";2;188,72
"3901";2;170,30
"3902";1;93,42
"3903";1;152,49
"3904";10;152,49
"3905";1;143,68
"3906";3;195,23
"3907";2;107,04
"3908";1;112,45
"3910";1;190,92
"3911";2;269,13
"3912";2;128,06
"3913";1;42,18
"3914";4;139,81
"3915";1;174,91
"3916";6;38,94
"3917";1;99,99
"3918";3;40,02
"3919";1;163,45
"3920";10;130,55
"3921";10;200,76
"3922";2;150,93
"3923";1;41,10
"3924";2;147,00
"3925";1;293,49
"3926";2;114,11
"3927";10;233,11
"3929";10;35,10
"3930";1;135,43
"3931";1;106,89
"3932";1;43,74
"3933";2;87,37
"3936";1;25,88
"3946";1;58,14
"3947";1;21,28
"3948";1;72,75
"3949";1;30,49
"3950";1;30,49
"3964";1;90,16
"3969";3;72,18
"3970";4;100,85
"3971";7;110,83
"3972";2;111,83
"3973";2;121,55
"3974";7;62,19
"3975";5;69,95
"3976";6;48,84
"3977";10;43,74
"3978";6;78,00
"3979";2;173,21
"3980";10;131,98
"3981";10;303,59
"3982";4;130,15
"3983";1;130,71
"3984";2;14,60
"3985";1;35,10
"3986";1;21,28
"3987";1;35,10
"3988";1;30,49
"3989";1;30,49
"3990";1;21,28
"3991";10;21,28
"3992";10;16,67
"3993";1;21,28
"3995";10;132,19
"4003";1;21,28
"4010";10;25,88
"4011";7;35,10
"4012";10;25,88
"4013";10;35,10
"4014";10;30,49
"4017";10;25,88
"4018";10;21,28
"4019";1;25,88
"4020";1;25,88
"4023";10;35,10
"4024";10;30,49
"4025";10;25,88
"4034";2;21,28
"4035";2;25,88
"4042";10;94,63
"4043";10;85,60
"4045";1;85,60
"4050";1;67,54
"4051";10;103,66
"4052";1;85,60
"4053";10;67,54
"4054";1;67,54
"4055";10;85,60
"4056";1;85,60
"4060";2;49,48
"4061";10;76,57
"4062";10;76,57
"4063";10;94,63
"4064";10;67,54
"4072";2;76,57
"4073";1;85,60
"4074";1;103,66
"4075";1;94,63
"4076";2;67,54
"4077";1;94,63
"4078";1;94,63
"4079";1;76,57
"4080";2;49,48
"4081";1;76,57
"4082";10;94,63
"4084";1;76,57
"4085";1;94,63
"4086";1;67,54
"4087";1;76,57
"4088";1;85,60
"4089";2;76,57
"4090";1;58,51
"4091";1;85,60
"4093";1;103,66
"4094";1;85,60
"4095";1;103,66
"4096";2;76,57
"4097";1;94,63
"4098";1;76,57
"4099";1;103,66
"4100";1;94,63
"4101";1;58,51
"4102";10;166,19
"4103";10;94,63
"4104";2;85,60
"4105";2;44,62
"4106";1;67,54
"4107";10;85,60
"4108";1;76,57
"4109";3;94,63
"4110";1;76,57
"4111";2;85,60
"4112";1;67,54
"4113";1;304,95
"4114";1;262,38
"4116";1;246,79
"4118";2;161,28
"4119";1;130,49
"4122";1;229,67
"4123";2;262,38
"4124";1;222,79
"4125";2;161,28
"4126";2;262,96
"4127";1;332,16
"4128";10;25,88
"4129";2;14,60
"4130";3;25,88
"4131";1;30,49
"4140";10;51,23
"4141";2;30,49
"4142";3;35,10
"4143";2;25,88
"4144";2;25,88
"4145";1;25,88
"4146";2;14,60
"4147";1;25,88
"4148";10;35,10
"4149";2;30,49
"4151";1;35,10
"4152";2;35,10
"4153";10;35,10
"4154";1;35,10
"4155";1;30,49
"4156";3;21,28
"4157";10;35,10
"4158";2;30,49
"4159";2;35,10
"4160";2;30,49
"4161";10;94,63
"4162";1;94,63
"4163";3;58,51
"4164";2;103,66
"4165";1;76,57
"4166";1;85,60
"4167";2;67,54
"4168";1;85,60
"4169";1;94,63
"4170";1;85,60
"4171";2;103,66
"4172";1;76,57
"4173";2;85,60
"4174";1;94,63
"4175";1;76,57
"4176";1;76,57
"4197";10;30,49
"4198";10;16,67
"4199";1;21,28
"4200";1;25,88
"4201";1;30,49
"4202";10;30,49
"4203";1;35,10
"4205";1;30,49
"4206";2;30,49
