"FORMULARIO";"B_001";"D_003";"D_004";"D_005";"D_006";"D_006_A";"ZAT_O";"D_007";"D_008";"D_009_HH";"D_009_MM";"D_009_A";"D_010_NO";"D_010L";"D_010M";"D_010Mc";"D_010J";"D_010V";"D_010S";"D_010D";"D_010_Ocasional";"D_011A";"D_011B";"D_011C";"D_012";"F_EXP"
"0030";1;;;9/5/2017 0:00:00;1;;;;;5;45;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"TRABAJO,HOGAR";226,68
"0030";3;;;9/5/2017 0:00:00;1;;;;;6;10;"A.M.";0;1;1;1;1;1;0;0;0;2;2;2;"ESCUELA , HOGAR";226,68
"0030";4;;;9/5/2017 0:00:00;1;;;;;6;0;"A.M.";0;1;1;1;1;1;0;0;0;2;2;2;"COLEGIO, HOGAR";226,68
"0031";1;;;4/5/2017 0:00:00;1;;;;;9;0;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"TRAMITES SALUD-HOGAR";44,36
"0031";2;;;5/5/2017 0:00:00;1;;;;;5;0;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"PARQUE GAITAN-HOGAR-PARQUE GAITAN-HOGAR";44,36
"0031";3;;;6/5/2017 0:00:00;1;;;;;7;30;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"
GIMNASIA-HOGAR";44,36
"0032";2;;;9/5/2017 0:00:00;1;;;;;3;0;"P.M.";1;0;0;0;0;0;0;0;0;2;2;2;;158,07
"0032";3;;;9/5/2017 0:00:00;1;;;;;7;0;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;;158,07
"0032";4;;;9/5/2017 0:00:00;1;;;;;7;0;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;;158,07
"0032";5;;;9/5/2017 0:00:00;1;;;;;8;0;"A.M.";1;0;0;0;0;0;0;0;0;2;2;4;;158,07
"0033";1;;;6/5/2017 0:00:00;1;;;;;7;0;"A.M.";0;0;0;0;0;0;0;0;1;2;1;2;"trabajo,hogar";19,31
"0035";1;;;10/5/2017 0:00:00;1;;;;;5;30;"P.M.";1;0;0;0;0;0;0;0;0;2;2;2;"centro,casa";9,77
"0035";3;;;10/5/2017 0:00:00;1;;;;;7;20;"A.M.";1;0;0;0;0;0;0;0;0;2;2;12;"casa,trabajo";9,77
"0036";1;;;6/5/2017 0:00:00;1;;;;;12;30;"P.M.";0;0;0;0;0;0;0;0;1;2;2;2;"HOGAR,TRABAJO,TRABAJO,HOGAR";149,23
"0036";2;;;6/5/2017 0:00:00;1;;;;;1;0;"P.M.";1;0;0;0;0;0;0;0;0;2;2;2;"HOGAR,CASINO,CASINO,HOGAR";149,23
"0038";3;;;9/5/2017 0:00:00;1;;;;;6;0;"A.M.";0;1;1;1;1;1;1;0;0;1;1;2;"trabajo,hogar,estudio,hogar";38,88
"0038";5;;;11/5/2017 0:00:00;1;;;;;6;20;"A.M.";1;0;0;0;0;0;0;0;0;10;10;2;"estudio,hogar";38,88
"0038";6;;;11/5/2017 0:00:00;1;;;;;6;45;"A.M.";1;0;0;0;0;0;0;0;0;10;10;2;"estudio,hogar";38,88
"0039";1;;;4/5/2017 0:00:00;1;;;;;5;30;"A.M.";0;1;1;1;1;1;1;1;0;2;1;2;"CASA,TRABAJO,TRABAJO,CASA";238,83
"0040";1;;;9/5/2017 0:00:00;1;;;;;10;0;"A.M.";0;1;1;1;1;1;1;1;0;2;1;1;"RECREACION, HOGAR";32,48
"0041";1;;;3/5/2017 0:00:00;1;;;;;10;0;"A.M.";1;0;0;0;0;0;0;0;0;2;2;2;"FAMILIA,AMIGO,HOGAR";51,97
